max_workers,results,wallclock_time
1,all,422.3569821250021
2,all,216.12173308400088
3,all,154.6976167080029
4,all,125.13651254200158
5,all,112.23471379200055
6,all,107.94571025000187
7,all,99.66820795800231
8,all,94.31223766699986
1,minimal,296.1684398340003
2,minimal,152.70740625000326
3,minimal,110.15719695800362
4,minimal,85.74831283299864
5,minimal,76.00576325000293
6,minimal,74.11758650000411
7,minimal,69.27310016700358
8,minimal,65.29876887499995
