Admiral AI,Admiral AI,trAIns AI,trAIns AI
Flat,Mountainous,Flat,Mountainous
1216225,3628915,13149611,4457634
6624137,1790712,2567738,10755645
2731075,3931561,1905324,1544347
4540306,4123135,5965076,7013107
8572173,5540055,1991877,6218241
3573021,6563398,12449060,2834937
7309917,4459196,4737829,4403780
6698207,3111598,4225251,1982539
5643135,6151004,10539906,5016111
4496987,3078990,11762629,3513326
3854811,2868837,2302215,8577134
6266808,2717404,5015936,5510925
1430726,4838186,6108344,6339122
5954754,7345240,6720556,1853632
3972417,5011166,2332468,9844987
8086361,6434290,3882688,8907131
4835358,6966717,8353722,4923228
7067730,3775414,5199705,3808590
5347619,1228389,2299119,1809330
4305026,6108889,2764441,871007
5291012,3080544,14733466,2445506
4788642,2608145,3590907,3206016
4846706,7250034,4638694,2767424
2128867,1875580,15471625,5083530
4509432,2890048,6057788,4287770
6498567,5698943,4008891,994688
7956976,6068840,5640950,3730964
2967330,9218681,5652749,4924930
5125231,5675874,6363461,416415
4217349,5592534,4980740,3452577
4397736,14402,3604294,8913577
7396905,4513352,6793826,8918348
7514169,7717882,1553022,1
2125172,4826734,4069627,3030280
8909597,5444743,4877006,6972048
5742790,6701404,1359008,3656829
2494986,2236775,12211508,3991167
8083520,5877398,4856812,2357524
6480041,5143860,5364341,2504590
6986658,3295049,10668668,5438583
6027411,3382348,2160585,3158284
7353636,4189899,7492218,7982069
4947363,3728936,4636423,2411163
4965588,3832696,3062460,5586652
5294532,10687018,4200156,5530272
6105898,3426862,8525801,3552250
7148222,783958,6418219,7868655
8923154,7202544,2029220,5984688
9201984,3221738,7497612,1342992
6068269,2721501,6986779,6492219
8541812,2854192,2786984,4083372
3723967,3227773,3016670,4569694
6703839,3864516,7825422,4399916
3543873,1245364,7257859,6826822
6436491,6140287,9828330,3214518
5087067,5402328,2183112,1
6194697,5867086,12967299,8617249
10935973,5287303,8939918,2289178
8406508,2752998,6439711,1319960
3696993,4569552,10115448,7041679
8130015,2595425,7775622,2633598
6797731,4298649,10045740,5218329
1385281,3408362,14439261,6223383
4638747,3559011,10406794,10707182
